localidad,edad,sexo,causa_inicio,causa_persistencia,consume_cigarrillo,consume_basuco,consume_marihuana,consume_alcohol,consume_inhalantes,consume_pepas,consume_cocaina,consume_heroina,causa_inicio_texto,causa_persistencia_texto
Santa Fe,42,Hombre,1.0,1.0,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,26,Hombre,1.0,6.0,Sí,Sí,No,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Conflictos o dificultades familiares
Santa Fe,60,Hombre,6.0,1.0,No,Sí,No,No,No,No,No,No,Por discriminación,Consumo de sustancias psicoactivas
Santa Fe,58,Hombre,1.0,2.0,Sí,Sí,Sí,Sí,Sí,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Por decisión propia
Santa Fe,34,Hombre,12.0,1.0,Sí,Sí,No,No,No,No,No,No,Otra,Consumo de sustancias psicoactivas
Santa Fe,35,Hombre,3.0,1.0,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Pérdida de fuente de ingresos suya o de su hogar,Consumo de sustancias psicoactivas
Santa Fe,39,Hombre,5.0,1.0,Sí,Sí,Sí,Sí,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,37,Hombre,1.0,1.0,Sí,Sí,No,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,29,Hombre,3.0,2.0,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Pérdida de fuente de ingresos suya o de su hogar,Por decisión propia
Santa Fe,27,Hombre,3.0,1.0,Sí,Sí,Sí,Sí,No,No,Sí,No,Pérdida de fuente de ingresos suya o de su hogar,Consumo de sustancias psicoactivas
Santa Fe,34,Hombre,1.0,1.0,No,Sí,No,No,Sí,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,49,Hombre,1.0,1.0,No,Sí,Sí,Sí,Sí,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,25,Hombre,1.0,1.0,No,Sí,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,37,Hombre,5.0,1.0,Sí,Sí,Sí,Sí,Sí,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Teusaquillo,26,Hombre,5.0,1.0,Sí,Sí,Sí,Sí,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Teusaquillo,,,,,,,,,,,,,,
Santa Fe,18,Hombre,1.0,1.0,Sí,Sí,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,46,Hombre,5.0,5.0,No,Sí,Sí,No,No,No,No,No,Consumo de sustancias psicoactivas,Falta de trabajo
Teusaquillo,23,Hombre,11.0,1.0,Sí,Sí,No,Sí,No,No,No,No,Por ser víctima o desplazado del conflicto armado,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Teusaquillo,53,Hombre,1.0,6.0,No,No,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Conflictos o dificultades familiares
Santa Fe,40,Hombre,5.0,1.0,No,No,Sí,No,Sí,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,41,Hombre,8.0,2.0,Sí,Sí,Sí,No,No,No,No,No,Por decisión propia,Por decisión propia
Santa Fe,,,,,,,,,,,,,,
Chapinero,43,Hombre,3.0,5.0,Sí,No,Sí,No,No,No,No,No,Pérdida de fuente de ingresos suya o de su hogar,Falta de trabajo
Santa Fe,,,,,,,,,,,,,,
Santa Fe,,,,,,,,,,,,,,
Santa Fe,,,,,,,,,,,,,,
Santa Fe,,,,,,,,,,,,,,
Santa Fe,51,Hombre,3.0,2.0,No,No,No,Sí,No,No,Sí,No,Pérdida de fuente de ingresos suya o de su hogar,Por decisión propia
La Candelaria,39,Hombre,1.0,5.0,Sí,No,Sí,No,No,No,Sí,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Falta de trabajo
