"globalid";"LOCALIDAD";"COD_LOCALIDAD";"UBIC";"CTL1";"P5";"P6";"P7";"P7S1A";"P7S1B";"P9";"P10";"P11";"P11S3";"P12";"no_sabe_edad_fecha";"P13";"P14S1";"P14S2";"P14S3";"P14S4";"P14S5";"P14S6";"P14S7";"P14S8";"P15";"P16";"P16S1";"P17";"P17_2";"P17_3";"P18S1";"P18S2";"P19";"P20";"P21";"P22S1";"P22S2";"P22S3";"P22S4";"P22S5";"P22S6";"P22S7";"P23S1";"P23S2";"P23S3";"P23S4";"P23S5";"P23S6";"P23S7";"P23S8";"P23S9";"P23S10";"visita_municipio";"visita_pais";"ninguna_ciudad_f24";"P25S1";"P25S2";"P25S3";"P25S4";"P25S5";"P26";"P27";"P28";"P28_1S1";"P28_1S2";"P28_1S3";"P28_1S4";"P28_1S5";"P28_1S6";"P28_1S7";"P28_1S8";"P28_1S9";"P28_1S10";"P28_1S11";"P28_2";"P29S1";"P29S1A1";"P29S2";"P29S2A1";"P29S3";"P29S3A1";"P29S4";"P29S4A1";"P29S5";"P29S5A1";"P30S1";"P30S1A1";"P30S2";"P30S2A1";"P30S3";"P30S3A1";"P30S4";"P30S4A1";"P30S5";"P30S5A1";"P30S6";"P30S6A1";"P30S7";"P30S7A1";"P30S8";"P30S8A1";"P30S9";"P30S9A1";"P30_1";"P30_2";"P31";"P31S1";"P32";"P33S1";"P33S2";"P33S3";"P33S4";"P33S5";"P33S6";"P33S7";"P33S8";"P33S9";"P34";"P35S1";"P35S2";"P35S3";"P35S4";"P35S5";"P36";"P37S1";"P37S2";"P37S3";"P37S4";"P37S5";"P37S6";"P37S7";"P37S8";"P37S9";"P37S10";"P37_1";"P38";"P38_1";"P39";"P39_1";"P39_2";"P39_3";"P40";"P40S1A";"P40S1B";"P40S2";"P41";"P42";"P43";"P44";"P45";"RES_FIN"
"{D4C74EBE-4266-4A6D-8DA2-ADB5BA238FBD}";"Santa Fe";3;1;2;3;4;1;"Santa Fe";"3";3;1;2;;"72";0;6;4;4;3;4;4;4;4;4;1;3;5;2;5;1;"20";0;1;8;11;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;1;2;9;3;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;1;50;2;;2;;2;;2;;2;;2;;2;;;3;1;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;1;1;2;2;1;2;2;8;1;2;"2";"Vender";;;1;20;0;2;1;2;;;;1
"{D631EB1D-CC6F-4002-8218-6FC224EFA0EA}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"48";0;6;4;4;4;4;4;4;4;4;1;5;11;6;10;;"20";0;1;5;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;2;2;1;1;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;1;18;1;18;1;18;1;18;2;;2;;2;;2;;2;;2;2;1;1;;1;1;1;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;1;2;2;1;2;2;1;2;3;"8";"Construir";;;1;10;0;6;1;2;;;;1
"{E32F9506-0044-4CDF-9F4B-69EF6FF60F4A}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"21";0;6;4;4;4;4;4;4;4;4;1;5;10;6;2;11;"0";4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;1;2;2;9;4;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;2;;1;12;2;;2;;2;;2;;2;;2;;3;;2;;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;1;2;2;8;1;2;"5";"Hacer múltiples tareas";;;1;0;6;1;1;2;;;;1
"{4CC8AF58-3032-4962-8337-F17B5ED30B1F}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"30";0;6;4;4;4;4;4;4;4;4;1;5;11;2;10;;"0";2;1;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"1";"2";;2;2;2;2;2;9;3;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;1;20;2;;2;;2;;2;;2;;2;;2;;;2;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;5;"5";"Hacer múltiples tareas";;;1;6;0;4;1;2;;;;1
"{CDB45347-8202-4FB7-B343-B3A0E8343D25}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"51";0;6;4;4;4;4;4;4;4;4;2;1;;2;10;;"46";12;1;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;2;2;9;4;1;2;2;2;2;1;2;2;2;2;2;2;4;2;;2;;2;;2;;2;;2;;1;10;2;;1;10;2;;2;;2;;2;;2;;2;2;1;2;7;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;"2";"Vender";;;2;;;;1;2;;;;1
"{35FD8500-5962-4A29-8C44-482CE18EC05E}";"Santa Fe";3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;"32";5;1
"{B15BF920-546E-4FBC-93A9-C28167936550}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"51";0;6;4;4;2;4;4;2;4;4;1;4;8;2;6;11;"13";6;1;8;5;2;2;1;1;2;2;2;2;1;2;2;1;2;1;1;1;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;2;2;9;4;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;2;;1;8;2;;2;;2;;2;;2;;2;;3;;1;1;;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;2;1;2;1;1;2;2;2;2;2;2;5;;"7,9,6";"Cocinar";"Reparar";"Vigilar";1;8;5;3;1;2;;;;1
"{35586000-BA7C-40E9-A74C-72ADEA2D7891}";"Santa Fe";3;1;2;6;6;1;"Santa Fe";"3";3;1;2;;"58";0;6;4;4;4;4;4;4;4;4;1;3;5;6;11;;"35";12;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;2;2;9;4;1;2;2;2;2;1;1;2;2;2;2;2;1;2;;2;;2;;2;;2;;2;;1;;1;20;2;;2;;2;;2;;2;;2;;3;2;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;1;1;4;"1";"Elaborar artesanías y obras de arte";;;2;;;;1;2;;;;1
"{A6C00FCB-3D9D-4F49-A3BD-E4972529430E}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;2;1;;"46";0;6;4;4;4;4;4;4;4;4;1;3;5;6;1;5;"9";0;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;2;2;1;1;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;1;20;1;20;1;20;1;20;2;;2;;2;;2;;2;;2;1;1;2;7;1;1;1;1;1;1;1;1;2;1;2;2;2;1;1;1;2;2;2;2;2;2;2;1;2;2;8;2;1;"7";"Cocinar";;;1;2;6;3;2;1;;;;1
"{41F6FEBF-D62C-4D44-8A59-F4CDABA1DC07}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"47";0;6;4;4;4;4;4;4;4;4;1;4;7;6;11;;"4";9;1;5;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;2;2;1;3;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;1;15;1;15;2;;2;;2;;2;;2;;2;;2;;2;1;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;1;1;10;2;1;"2";"Vender";;;1;6;12;3;1;2;;;;1
