"globalid","edad_menstrual","recibe_ayuda","migrante","discapacidad","orientacion_sexual","LGBTI"
"{DDECB497-550E-4252-A9F3-4C6CF7F68C83}",NA,1,0,0,1,0
"{5A33B710-6BEA-4C0E-A3C4-757E061A1385}",1,1,0,0,1,0
"{E2B5BAA4-4E78-43AA-BCFB-263AB6F20A72}",NA,1,0,0,1,0
"{974E38E5-E89E-4C41-B788-DAB2F0F848CE}",NA,1,0,0,4,1
"{D72820F3-7809-4A21-91E8-F3999CC4ECEE}",1,NA,NA,NA,NA,NA
"{1D31A239-6593-4BF5-97B9-6D5FB217D7DA}",NA,1,0,0,1,0
"{57275312-08F8-4679-8708-E69A516A6FF2}",NA,0,0,0,1,0
"{72609ED1-9AC6-4737-98AA-EC61558FA320}",1,NA,NA,NA,NA,NA
"{7EF58707-D9DB-4D4D-9820-C1505D884C54}",NA,0,0,0,1,0
"{584D9B76-A153-4466-A380-902F315D4BD0}",1,1,0,0,1,0
"{C64EC85A-D701-48DC-92C1-4531DA839513}",NA,0,1,0,1,0
"{321B8761-5F6F-4D02-880D-4C8EFB4B0CFD}",NA,0,0,0,1,0
"{751AF788-AD44-4DFB-AE78-D35EDB6A6F2C}",NA,1,0,0,1,0
"{B411E054-9C83-42AE-8FAE-5B774BF79A34}",NA,1,0,0,1,0
"{C3351C4B-EDAF-4A99-B5EB-A0E6C7078BD3}",NA,1,1,1,1,0
"{4298BE9E-BAA4-4467-863A-34D370D2D1C3}",NA,1,0,0,1,0
"{2567A56F-D4A8-4FA0-9B86-A4953C4ABD18}",1,0,0,1,1,0
"{DDA5E15E-5B5E-4709-8637-959AD5BC8CD2}",NA,0,1,0,1,0
"{8484D527-2800-48AA-922C-9CFA1DA66352}",NA,1,0,0,1,0
"{2878C777-AEED-4DE3-8B7C-0A3B9934D84B}",NA,0,0,0,1,0
"{5E8CE285-7967-4048-ABF4-FCBC8D802F86}",NA,0,0,1,2,1
"{D2A54CC2-6F6E-40E7-8251-6FF482ED24EB}",NA,0,1,0,2,1
"{9B71D256-BEBA-45B3-A7B6-DC728310DAA1}",NA,1,0,0,1,0
"{56585464-78EB-4487-B4A1-762151086C61}",NA,1,0,0,1,0
"{2B6C50A4-109F-45AF-A67F-9BA20E94C0EA}",NA,0,0,0,1,0
"{1EF889E3-A389-4515-9B3A-3698BA8AE20D}",NA,0,0,0,1,0
"{455921EB-8342-4AD0-A331-A29EBFA586E5}",NA,1,0,0,1,0
"{D57802F8-A653-4C3E-BB2A-8A232CCE9F3E}",NA,0,1,0,1,0
"{6AD8615B-0F7C-4637-A3C0-F2B342EF1231}",NA,0,0,0,4,1
"{1511F579-935E-4417-B47D-37A8024FCBA6}",NA,NA,NA,NA,NA,NA
"{7E5646F4-E196-462C-BB61-F9EA085E337A}",NA,NA,NA,NA,NA,NA
"{70620A7F-7BE0-4B22-9DBE-7D7B876C986B}",NA,1,0,0,1,0
"{2DE5D358-9883-4EDA-9152-A103D128F77A}",NA,0,0,0,1,0
"{C5B16199-92C4-47A0-8093-A63FE4057B51}",NA,NA,NA,NA,NA,NA
"{BBD723E0-901C-46B5-822A-9EC85382F918}",NA,0,1,0,1,0
"{54461751-488C-498C-AAEA-FB489E3FB24A}",NA,1,0,0,1,0
"{58BFAD45-F631-41DD-815E-B7CBE56B2035}",NA,1,1,0,1,0
"{19AF34B0-FB83-4885-A460-C5378BE592E3}",NA,1,0,0,1,0
"{C30B2031-A919-4046-ADC9-3064407D7126}",NA,1,0,0,1,0
"{F6558470-BD43-48DA-BC73-E3D51ECE391A}",NA,0,0,0,1,0
"{F3A1F68D-1A6B-4650-AAB9-81753F325EB6}",NA,1,0,1,1,0
"{A43D01F8-3CAA-4EFD-9635-665CF94B54E4}",1,1,0,1,1,0
"{153DB36B-E691-48EE-AF13-0BB816929EFE}",NA,1,0,0,1,0
"{A2D9C9DA-771B-40AA-A8A1-A1AA03F43544}",1,1,0,0,1,0
"{6F25EA0A-4266-46A4-BF48-34CA87FD3261}",NA,0,0,0,1,0
"{E97E532E-D74D-466C-BA33-6AF37B80AEF4}",NA,NA,NA,NA,NA,NA
"{A1F07A04-BD9A-47EB-A7E0-74AD8B4E9477}",NA,1,0,1,1,0
"{F260F325-1F05-44C2-9C82-ECAD77639182}",NA,NA,NA,NA,NA,NA
"{C14B492F-D605-43C8-A3B5-C5E95BBFECB4}",NA,0,0,0,1,0
"{678E84B1-7985-43B8-8018-811B0B11004A}",NA,1,0,0,1,0
"{B37C75EA-D9CA-463B-9FB6-33A45DAC1049}",NA,0,1,0,2,1
"{6F7A0189-F698-4101-9102-347A114CEA76}",1,NA,NA,NA,NA,NA
"{11DC76B2-33E8-4538-8297-F89353D17175}",NA,0,0,0,1,0
"{D54C94CB-0583-45A2-A507-B37838484541}",NA,1,0,0,1,0
"{216009AD-E14F-418B-85EC-1AB019B8EC1E}",NA,1,0,0,1,0
"{5CC88CC4-1D59-47E8-AD95-67E2635A62A4}",NA,NA,NA,NA,NA,NA
"{ECB3B337-45AE-4943-879C-2B8641B84AF2}",NA,0,0,0,1,0
"{5EDC398F-7A29-49FB-8B62-4C1A67422402}",NA,0,0,1,1,0
"{AC5568E1-EC47-44B1-980C-62982F1FDB8D}",NA,NA,NA,NA,NA,NA
"{C4AD9014-20A0-4D14-AF22-ADC97771042D}",NA,NA,NA,NA,NA,NA
"{7D04FBA2-A67B-40A2-8622-9C63C1AA0C2B}",NA,NA,NA,NA,NA,NA
"{9888BE51-A454-4E3B-A43C-6BDB7BFF7F41}",NA,NA,NA,NA,NA,NA
"{8CC0A789-833B-483D-AA75-E7FC3F7A2895}",NA,0,0,0,1,0
"{48904502-B5EF-40E5-AFBF-C334D672E19C}",NA,0,0,0,1,0
"{94F1080B-15A8-45E9-A50A-69986F8FEAF2}",NA,1,0,0,7,0
